iter	Logloss
0	0.6011616762
1	0.5384303638
2	0.4819576735
3	0.4273670944
4	0.385431752
5	0.3525153772
6	0.319407963
7	0.2925805792
8	0.2714705565
9	0.2496584473
10	0.2303665833
11	0.2134860286
12	0.1996388763
13	0.1870626226
14	0.175736678
15	0.1644839248
16	0.1540461739
17	0.1433565986
18	0.1350865288
19	0.1291076886
20	0.122436383
21	0.1155887773
22	0.1131399066
23	0.1082135899
24	0.103673062
25	0.09971912768
26	0.09625787823
27	0.09228089434
28	0.08936983004
29	0.08596958272
30	0.08278899507
31	0.08004955078
32	0.07743117196
33	0.07503336703
34	0.07258645486
35	0.07034980467
36	0.0680986309
37	0.0656287778
38	0.06333635831
39	0.06158041261
40	0.05967255714
41	0.05788487889
42	0.05642717172
43	0.0547832116
44	0.05320723243
45	0.05160144189
46	0.05105037597
47	0.04944714189
48	0.04839371431
49	0.04718234909
50	0.04685047382
51	0.04569675548
52	0.04443223449
53	0.04347413035
54	0.04311271254
55	0.04218690241
56	0.04110968534
57	0.04022969325
58	0.0393853222
59	0.03857177211
60	0.03774084678
61	0.03690190427
62	0.03603796685
63	0.03513179256
64	0.03432329996
65	0.03366669032
66	0.03299418615
67	0.03242898063
68	0.03179428728
69	0.03116364936
70	0.03053397648
71	0.02993464729
72	0.02935854696
73	0.02887088637
74	0.02842786817
75	0.02781730328
76	0.02738475218
77	0.02699520032
78	0.02644587579
79	0.02595477608
80	0.02551881641
81	0.02515386675
82	0.02477404629
83	0.02438869791
84	0.02399727457
85	0.02363308942
86	0.02332076777
87	0.02299926209
88	0.02271390125
89	0.02235335073
90	0.02200727501
91	0.02168182764
92	0.02135596531
93	0.02101573998
94	0.02072957452
95	0.02042495691
96	0.02012190312
97	0.01980971149
98	0.01952712885
99	0.01930715444
100	0.0190663192
101	0.01883066971
102	0.01862139063
103	0.01839558643
104	0.01813403499
105	0.0179617075
106	0.01776600008
107	0.01756792667
108	0.01733521966
109	0.01716511236
110	0.01694482813
111	0.01677587449
112	0.01658513208
113	0.01640842568
114	0.01619865824
115	0.01601782079
116	0.01584298946
117	0.01567481348
118	0.01551185651
119	0.01537197024
120	0.01518934492
121	0.01503719167
