iter	Passed	Remaining
388	423687	665483
389	424774	664390
390	425836	663258
391	426916	662155
392	428016	661084
393	429143	660052
394	430241	658978
395	431346	657912
396	432424	656806
397	433507	655707
398	434595	654616
399	435673	653510
400	436747	652398
401	437865	651351
402	438928	650224
403	440020	649139
404	441080	648007
405	442154	646896
406	443188	645726
407	444232	644573
408	445319	643481
409	446393	642371
410	447507	641318
411	448613	640254
412	449731	639206
413	450826	638126
414	451934	637063
415	453049	636012
416	454141	634926
417	455230	633837
418	456304	632727
419	457417	631671
420	458668	630805
421	459784	629752
422	460873	628662
423	461980	627595
424	463066	626502
425	464148	625402
426	465232	624304
427	466389	623305
428	467520	622270
429	468585	621147
430	469651	620027
431	470759	618961
432	471859	617884
433	472970	616822
434	474027	615690
435	475103	614582
436	476147	613435
437	477227	612333
438	478321	611249
439	479408	610155
440	480507	609078
441	481543	607920
442	482623	606820
443	483745	605771
444	484810	604651
445	485904	603567
446	486964	602441
447	488071	601374
448	489159	600282
449	490278	599229
450	491341	598107
451	492470	597066
452	493531	595941
453	494610	594839
454	495707	593758
455	496786	592657
456	497902	591599
457	498969	590483
458	500042	589374
459	501138	588292
460	502217	587191
461	503327	586125
462	504439	585062
463	505513	583955
464	506582	582842
465	507664	581743
466	508746	580646
467	509836	579557
468	510904	578443
469	511990	577351
470	513041	576218
471	514167	575170
472	515369	574206
473	516439	573095
474	517517	571993
475	518623	570922
476	519755	569879
477	520870	568817
478	521970	567737
479	523085	566675
480	524156	565565
481	525205	564431
482	526294	563342
483	527369	562236
484	528433	561120
485	529507	560014
486	530609	558937
487	531671	557819
488	532761	556730
489	533865	555655
490	534957	554569
491	536002	553433
492	537138	552391
493	538214	551288
494	539371	550268
495	540456	549173
496	541581	548119
497	542708	547067
498	543832	546012
499	544890	544890
500	546003	543824
501	547099	542739
502	548182	541643
503	549285	540566
504	550439	539539
505	551517	538438
506	552632	537372
507	553750	536309
508	554829	535208
509	555911	534111
510	556984	533005
511	558085	531925
512	559196	530854
513	560282	529761
514	561373	528672
515	562450	527569
516	563532	526472
517	564697	525451
518	565772	524348
519	566841	523238
520	567922	522139
521	569040	521074
522	570135	519989
523	571222	518896
524	572337	517828
525	573413	516726
526	574536	515665
527	575622	514572
528	576705	513474
529	577828	512413
530	579094	511478
531	580243	510440
532	581377	509386
533	582462	508291
534	583523	507174
535	584641	506107
536	585676	504968
537	586759	503871
538	587828	502762
539	588883	501641
540	589954	500534
541	591001	499407
542	592112	498333
543	593159	497207
544	594251	496117
